,coral,tank,temp2,treat,pCO2,temp,pco2,species,colony,reefzone,SA,le,tp,rate,fpco2
120,CFSA3,400_31_1,31.1,400_31,434.02,31,cur,S,A,F,10.181,4.00E-03,Pre,0.389,400
121,CFSA5,700_31_1,30.9,700_31,666.85,31,eoc,S,A,F,8.918,4.00E-03,Pre,1.365,700
148,CFSE1,280_31_3,30.9,280_31,291.58,31,pre,S,E,F,8.451,4.00E-03,Pre,0.649,280
194,CNAA9,2800_28_1,28.1,2800_28,3369.78,28,ext,A,A,N,10.005,4.00E-03,Pre,1.163,2800
206,CNAC3,400_31_2,31.1,400_31,447.02,31,cur,A,C,N,8.534,4.00E-03,Pre,1.162,400
217,CNAD8,2800_28_2,28.1,2800_28,3336.47,28,ext,A,D,N,9.482,4.00E-03,Pre,0.358,2800
220,CNAE11,400_28_3,28,400_28,405.52,28,cur,A,E,N,9.245,4.00E-03,Pre,0.066,400
221,CNAE2,280_28_3,27.9,280_28,317.27,28,pre,A,E,N,8.297,4.00E-03,Pre,0.233,280
227,CNAF10,400_28_3,28,400_28,405.52,28,cur,A,F,N,7.282,4.00E-03,Pre,NA,400
230,CNAF5,700_31_3,30.9,700_31,675.24,31,eoc,A,F,N,11.216,4.00E-03,Pre,1.674,700
283,CNSA18,2800_31_1,30.9,2800_31,3258.29,31,ext,S,A,N,8.888,4.00E-03,Pre,1.188,2800
287,CNSA7,2800_28_1,28.1,2800_28,3369.78,28,ext,S,A,N,7.103,4.00E-03,Pre,NA,2800
328,CNTA11,400_28_1,28,400_28,408.25,28,cur,T,A,N,13.82,4.00E-03,Pre,0.005,400
337,CNTB2,280_28_1,28,280_28,302.69,28,pre,T,B,N,19.043,4.00E-03,Pre,0.561,280
354,CNTD1,280_31_2,30.9,280_31,286.61,31,pre,T,D,N,17.389,4.00E-03,Pre,0.552,280
379,CFAA14,400_28_1,28,400_28,408.25,28,cur,A,A,F,10.418,4.00E-03,T30,0.247,400
389,CFAB2,280_28_1,28,280_28,302.69,28,pre,A,B,F,10.698,4.00E-03,T30,0.401,280
390,CFAB3,400_31_1,31.1,400_31,434.02,31,cur,A,B,F,11.497,4.00E-03,T30,0.292,400
394,CFAC1,280_31_2,30.9,280_31,286.61,31,pre,A,C,F,8.561,4.00E-03,T30,0.62,280
396,CFAC2,280_28_2,27.9,280_28,314.65,28,pre,A,C,F,9.69,4.00E-03,T30,0.568,280
404,CFAD2,280_28_2,27.9,280_28,314.65,28,pre,A,D,F,8.646,4.00E-03,T30,0.107,280
419,CFAF5,700_31_3,30.9,700_31,675.24,31,eoc,A,F,F,10.342,4.00E-03,T30,-0.083,700
497,CFSA3,400_31_1,31.1,400_31,434.02,31,cur,S,A,F,10.181,4.00E-03,T30,0.007,400
498,CFSA5,700_31_1,30.9,700_31,666.85,31,eoc,S,A,F,8.918,4.00E-03,T30,1.846,700
525,CFSE1,280_31_3,30.9,280_31,291.58,31,pre,S,E,F,8.451,4.00E-03,T30,0.956,280
571,CNAA9,2800_28_1,28.1,2800_28,3369.78,28,ext,A,A,N,10.005,4.00E-03,T30,0.23,2800
583,CNAC3,400_31_2,31.1,400_31,447.02,31,cur,A,C,N,8.534,4.00E-03,T30,0.946,400
594,CNAD8,2800_28_2,28.1,2800_28,3336.47,28,ext,A,D,N,9.482,4.00E-03,T30,-0.54,2800
597,CNAE11,400_28_3,28,400_28,405.52,28,cur,A,E,N,9.245,4.00E-03,T30,1.245,400
598,CNAE2,280_28_3,27.9,280_28,317.27,28,pre,A,E,N,8.297,4.00E-03,T30,0.215,280
604,CNAF10,400_28_3,28,400_28,405.52,28,cur,A,F,N,7.282,4.00E-03,T30,0.501,400
607,CNAF5,700_31_3,30.9,700_31,675.24,31,eoc,A,F,N,11.216,4.00E-03,T30,0.599,700
660,CNSA18,2800_31_1,30.9,2800_31,3258.29,31,ext,S,A,N,8.888,4.00E-03,T30,-0.048,2800
664,CNSA7,2800_28_1,28.1,2800_28,3369.78,28,ext,S,A,N,7.103,4.00E-03,T30,-0.514,2800
705,CNTA11,400_28_1,28,400_28,408.25,28,cur,T,A,N,13.82,4.00E-03,T30,0.485,400
714,CNTB2,280_28_1,28,280_28,302.69,28,pre,T,B,N,19.043,4.00E-03,T30,0.171,280
731,CNTD1,280_31_2,30.9,280_31,286.61,31,pre,T,D,N,17.389,4.00E-03,T30,0.317,280
756,CFAA14,400_28_1,28,400_28,408.25,28,cur,A,A,F,10.418,4.00E-03,T60,-0.031,400
766,CFAB2,280_28_1,28,280_28,302.69,28,pre,A,B,F,10.698,4.00E-03,T60,0.192,280
767,CFAB3,400_31_1,31.1,400_31,434.02,31,cur,A,B,F,11.497,4.00E-03,T60,0.26,400
771,CFAC1,280_31_2,30.9,280_31,286.61,31,pre,A,C,F,8.561,4.00E-03,T60,0.298,280
