coral,tank,temp2,treat,pCO2,temp,pco2,species,colony,reefzone,SA,le,tp,rate2,fpco2,rate,gross
CFSE1,280_31_3,30.9,280_31,291.58,31,pre,S,E,F,8.451,4.00E-03,total,0,280,0.794,0.966741693
CFSE11,400_28_3,28,400_28,405.52,28,cur,S,E,F,1.88,8.00E-03,total,0,400,1.136,1.103485874
CFSE3,400_31_3,31.1,400_31,459.07,31,cur,S,E,F,9.104,8.00E-03,total,0,400,0.046,0.618968453
CFSE5,700_31_3,30.9,700_31,675.24,31,eoc,S,E,F,9.119,7.00E-03,total,0,700,-0.148,0.592781074
CFSE6,700_28_3,28.1,700_28,689.5,28,eoc,S,E,F,8.178,6.00E-03,total,0,700,1.022,1.293473316
CFSE7,2800_31_3,31,2800_31,3295.97,31,ext,S,E,F,8.936,6.00E-03,total,0,2800,-0.337,0.593960304
CFSE8,2800_28_3,28.1,2800_28,3219.84,28,ext,S,E,F,6.848,5.00E-03,total,0,2800,-0.418,0.687696031
CFSF11,400_28_3,28,400_28,405.52,28,cur,S,F,F,10.117,0.01,total,0,400,1.924,1.3928213
CFSF16,2800_28_3,28.1,2800_28,3219.84,28,ext,S,F,F,11.373,5.00E-03,total,0,2800,0.74,1.030326164
CFSF2,280_28_3,27.9,280_28,317.27,28,pre,S,F,F,10.837,8.00E-03,total,0,280,1.999,1.584995534
CFSF3,400_31_3,31.1,400_31,459.07,31,cur,S,F,F,7.627,5.00E-03,total,0,400,1.556,1.422423397
CFSF5,700_31_3,30.9,700_31,675.24,31,eoc,S,F,F,9.508,9.00E-03,total,0,700,0.986,0.94605066
CFSF6,700_28_3,28.1,700_28,689.5,28,eoc,S,F,F,10.336,7.00E-03,total,0,700,1.526,1.405136985
CFSF7,2800_31_3,31,2800_31,3295.97,31,ext,S,F,F,11.597,8.00E-03,total,0,2800,0.902,1.291466355
CFTA2,280_28_1,28,280_28,302.69,28,pre,T,A,F,32.06,NA,total,0,280,0.112,0.434636565
CFTA6,700_28_1,28,700_28,707.6,28,eoc,T,A,F,17.827,NA,total,0,700,-0.043,0.301059444
CFTA8,2800_28_1,28.1,2800_28,3369.78,28,ext,T,A,F,18.647,NA,total,0,2800,-0.259,0.457325654
CFTB2,280_28_1,28,280_28,302.69,28,pre,T,B,F,23.661,NA,total,0,280,0.074,0.143613148
CFTD1,400_28_2,28.1,400_28,400.02,28,cur,T,D,F,20.389,NA,total,0,400,0.107,0.383318624
CFTD2,280_28_2,27.9,280_28,314.65,28,pre,T,D,F,41.524,NA,total,0,280,0.037,0.288378483
CFTF2,400_28_3,28,400_28,405.52,28,cur,T,F,F,21.864,NA,total,0,400,0.145,0.465667651
CNAA14,700_28_1,28,700_28,707.6,28,eoc,A,A,N,12.178,3.00E-03,total,0,700,-0.43,0.213583685
CNAA2,280_28_1,28,280_28,302.69,28,pre,A,A,N,12.034,5.00E-03,total,0,280,0.404,0.642737859
CNAA3,400_31_1,31.1,400_31,434.02,31,cur,A,A,N,10.905,7.00E-03,total,0,400,-0.063,0.336974741
CNAA5,700_31_1,30.9,700_31,666.85,31,eoc,A,A,N,10.874,3.00E-03,total,0,700,0.04,0.457128211
CNAA6,400_28_1,28,400_28,408.25,28,cur,A,A,N,8.667,5.00E-03,total,0,400,-0.215,0.484267442
CNAA7,2800_31_1,30.9,2800_31,3258.29,31,ext,A,A,N,11.976,NA,total,0,2800,-0.231,0.455239683
CNAA9,2800_28_1,28.1,2800_28,3369.78,28,ext,A,A,N,10.005,4.00E-03,total,0,2800,0.002,0.461171097
CNAB10,280_28_1,28,280_28,302.69,28,pre,A,B,N,9.038,9.00E-03,total,0,280,-0.11,0.420214531
CNAB11,400_31_1,31.1,400_31,434.02,31,cur,A,B,N,7.304,2.00E-03,total,0,400,0.032,0.575206151
CNAB12,2800_28_1,28.1,2800_28,3369.78,28,ext,A,B,N,6.944,1.00E-03,total,0,2800,-1.377,0.086016446
CNAB13,280_31_1,31,280_31,286.83,31,pre,A,B,N,12.161,8.00E-03,total,0,280,0.045,0.634244661
CNAB19,400_28_1,28,400_28,408.25,28,cur,A,B,N,6.617,8.00E-03,total,0,400,-0.085,0.488233509
CNAC1,280_31_2,30.9,280_31,286.61,31,pre,A,C,N,8.864,7.00E-03,total,0,280,0.936,0.830399908
CNAC12,400_28_2,28.1,400_28,400.02,28,cur,A,C,N,6.932,6.00E-03,total,0,400,1.129,0.9050483
CNAC2,280_28_2,27.9,280_28,314.65,28,pre,A,C,N,11.649,5.00E-03,total,0,280,-0.045,0.29998629
CNAC3,400_31_2,31.1,400_31,447.02,31,cur,A,C,N,8.534,4.00E-03,total,0,400,0.538,0.602642834
CNAC5,700_31_2,30.9,700_31,677.35,31,eoc,A,C,N,9.56,2.00E-03,total,0,700,-0.009,0.339391014
CNAC6,700_28_2,28.1,700_28,707.17,28,eoc,A,C,N,10.235,5.00E-03,total,0,700,-0.237,0.201253374
CNAC8,2800_28_2,28.1,2800_28,3336.47,28,ext,A,C,N,10.829,2.00E-03,total,0,2800,-0.513,0.471026383
CNAD10,280_28_2,27.9,280_28,314.65,28,pre,A,D,N,11.882,NA,total,0,280,-0.478,0.154492834
CNAD3,400_31_2,31.1,400_31,447.02,31,cur,A,D,N,12.839,6.00E-03,total,0,400,0.314,0.39855285
CNAD5,700_31_2,30.9,700_31,677.35,31,eoc,A,D,N,12.119,NA,total,0,700,-0.109,0.530207522
CNAD6,700_28_2,28.1,700_28,707.17,28,eoc,A,D,N,11.062,NA,total,0,700,-0.535,0.176161314
CNAD7,2800_31_2,30.9,2800_31,3301.59,31,ext,A,D,N,12.793,3.00E-03,total,0,2800,-0.729,0.248405467
CNAD8,2800_28_2,28.1,2800_28,3336.47,28,ext,A,D,N,9.482,4.00E-03,total,0,2800,-1.068,-0.116918568
CNAD9,400_28_2,28.1,400_28,400.02,28,cur,A,D,N,12.847,5.00E-03,total,0,400,-0.851,0.108179068
CNAE11,400_28_3,28,400_28,405.52,28,cur,A,E,N,9.245,4.00E-03,total,0,400,-0.174,0.218351878
CNAE2,280_28_3,27.9,280_28,317.27,28,pre,A,E,N,8.297,4.00E-03,total,0,280,-0.344,0.20854186
CNAE5,700_31_3,30.9,700_31,675.24,31,eoc,A,E,N,9.883,NA,total,0,700,-0.05,0.345771144
CNAE6,700_28_3,28.1,700_28,689.5,28,eoc,A,E,N,9.108,5.00E-03,total,0,700,-0.042,0.32169598
CNAE7,2800_31_3,31,2800_31,3295.97,31,ext,A,E,N,7.256,NA,total,0,2800,-0.657,0.150423714
CNAE8,2800_28_3,28.1,2800_28,3219.84,28,ext,A,E,N,7.201,2.00E-03,total,0,2800,-1.433,-0.223991422
CNAF1,280_31_3,30.9,280_31,291.58,31,pre,A,F,N,13.161,8.00E-03,total,0,280,1.286,1.187946891
CNAF10,400_28_3,28,400_28,405.52,28,cur,A,F,N,7.282,4.00E-03,total,0,400,0.524,0.508121734
CNAF11,2800_28_3,28.1,2800_28,3219.84,28,ext,A,F,N,13.133,6.00E-03,total,0,2800,-0.083,0.680624631
CNAF5,700_31_3,30.9,700_31,675.24,31,eoc,A,F,N,11.216,4.00E-03,total,0,700,0.224,0.573668779
CNAF6,700_28_3,28.1,700_28,689.5,28,eoc,A,F,N,12.997,0.011,total,0,700,0.655,0.731337095
CNAF7,2800_31_3,31,2800_31,3295.97,31,ext,A,F,N,10.895,NA,total,0,2800,-0.713,
CNPA1,400_28_1,28,400_28,408.25,28,cur,P,A,N,9.378,NA,total,0,400,0.192,0.731027834
CNPA13,700_28_1,28,700_28,707.6,28,eoc,P,A,N,10.623,NA,total,0,700,-0.073,0.475457069
CNPA2,280_28_1,28,280_28,302.69,28,pre,P,A,N,10.66,NA,total,0,280,2.261,1.786001829
