coral,treat,tank,temp,pco2,pCO2,ftemp,species,reefzone,colony,tod,dead,dead.NA,tod.pre
CNSF13,700_28,18,28.1,689.5,eoc,28,S,N,F,92,0,0,112
CNSF15,2800_31,21,31,3295.97,ext,31,S,N,F,92,0,0,112
CNSF20,400_28,12,28,405.52,cur,28,S,N,F,91,0,0,111
CNSF23,280_28,6,27.9,317.27,pre,28,S,N,F,91,0,0,111
CNSF24,280_31,3,30.9,291.58,pre,31,S,N,F,90,0,0,110
CNSF25,2800_28,24,28.1,3219.84,ext,28,S,N,F,92,0,0,112
CNTA1,280_31,1,31,286.83,pre,31,T,N,A,1,1,NA,21
CNTA10,280_31,1,31,286.83,pre,31,T,N,A,1,1,NA,21
CNTA11,400_28,10,28,408.25,cur,28,T,N,A,91,0,0,111
CNTA12,2800_31,20,30.9,3301.59,ext,31,T,N,A,3,1,NA,23
CNTA2,280_28,4,28,302.69,pre,28,T,N,A,28,1,1,48
CNTA3,400_31,7,31.1,434.02,cur,31,T,N,A,1,1,NA,21
CNTA5,700_31,13,30.9,666.85,eoc,31,T,N,A,2,1,NA,22
CNTA6,700_28,16,28,707.6,eoc,28,T,N,A,29,1,1,49
CNTA8,2800_28,22,28.1,3369.78,ext,28,T,N,A,60,1,1,80
CNTB12,400_31,7,31.1,434.02,cur,31,T,N,B,1,1,NA,21
CNTB13,700_28,16,28,707.6,eoc,28,T,N,B,60,1,1,80
CNTB14,2800_31,19,30.9,3258.29,ext,31,T,N,B,2,1,NA,22
CNTB2,280_28,4,28,302.69,pre,28,T,N,B,90,0,0,110
CNTB5,700_31,13,30.9,666.85,eoc,31,T,N,B,2,1,NA,22
CNTB8,2800_28,22,28.1,3369.78,ext,28,T,N,B,92,0,0,112
CNTB9,400_28,10,28,408.25,cur,28,T,N,B,91,0,0,111
CNTC1,280_31,2,30.9,286.61,pre,31,T,N,C,59,1,1,79
CNTC10,280_28,6,27.9,317.27,pre,28,T,N,C,91,0,0,111
CNTC11,2800_28,24,28.1,3219.84,ext,28,T,N,C,29,1,1,49
CNTC13,2800_31,21,31,3295.97,ext,31,T,N,C,3,1,NA,23
CNTC14,2800_28,24,28.1,3219.84,ext,28,T,N,C,29,1,1,49
CNTC16,280_28,5,27.9,314.65,pre,28,T,N,C,90,0,0,110
CNTC2,280_28,5,27.9,314.65,pre,28,T,N,C,90,0,0,110
